cycle_id,scenario_id,scenario_cycle,scenario_name,soil_moisture_pct,soil_state,energy_state,lora_success_ratio,lora_ack_condition,wifi_available,wifi_ack_condition,ble_available,ble_reliable_ack_condition,dtn_backlog_before_dataset,packet_size,event_type_dataset,priority_dataset,cm_priority,cm_event_type,cm_main_path,cm_sub_policy,cm_decision,cm_selected_interface,cm_outcome,cm_ack_success,cm_dtn_before,cm_dtn_after,cm_flush_triggered,cm_flush_interface,cm_flush_sent,cm_wifi_scan_done,cm_energy_proxy,runner_lora_ops,runner_wifi_ops,runner_ble_reliable_ops,runner_ble_adv_ops,runner_wifi_maint_ops,runner_total_radio_ops,expected_policy,expected_selected_interface,expected_decision,expected_outcome,expected_dtn_action,expected_dtn_backlog_after,match_interface,match_outcome,match_dtn_after
11,S8,4,CRITICAL battery; store-only protection,41,Normal,CRITICAL,0.87,NA,No,NA,No,NA,23,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,23,24,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,24,1,1,1
12,S2,1,Normal soil; OK energy; poor LoRa history,36,Normal,OK,0.3,No,No,NA,No,NA,0,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,0,1,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_poor_lora,DTN,Store,Stored,Enqueue,1,1,1,1
13,S6,6,Extreme soil event; LOW energy; LoRa-only emergency,7,Extreme_Dry,LOW,0.4,Yes,Yes,NA,Yes,NA,23,96,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_lora_only,lora,success,1,23,23,0,,0,0,1.7,1,0,0,0,0,1,low_energy_critical_lora_only,LORA,Send,Delivered,None,23,1,1,1
14,S6,7,Extreme soil event; LOW energy; LoRa-only emergency,94,Extreme_Wet,LOW,0.39,No,Yes,NA,Yes,NA,24,96,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental_low_energy_lora_only,low_energy_critical_store,dtn,stored,0,24,25,0,,0,0,1.3,1,0,0,0,0,1,low_energy_critical_lora_only,DTN,Store,Stored,Enqueue,25,1,1,1
15,S8,3,CRITICAL battery; store-only protection,40,Normal,CRITICAL,0.88,NA,No,NA,No,NA,22,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,22,23,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,23,1,1,1
16,S5,6,Extreme wet; OK energy; deterministic cascade,93,Extreme_Wet,OK,0.32499999999999996,No,Yes,Yes,No,NA,17,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_wifi_tx,wifi,success,1,17,17,0,,0,0,1.7,1,1,0,0,0,2,critical_environmental_full_cascade,WIFI,Send,Delivered,None,17,1,1,1
17,S5,9,Extreme wet; OK energy; deterministic cascade,92,Extreme_Wet,OK,0.31,No,Yes,No,Yes,No,20,128,EXTREME_WET,CRITICAL,CRITICAL,EXTREME_WET,deterministic_event_path,critical_environmental,critical_store_after_failed_paths,dtn,stored,0,20,21,0,,0,0,1.3,1,1,1,1,0,4,critical_environmental_full_cascade,DTN,Store,Stored,Enqueue,21,1,1,1
18,S10,3,Scheduled WiFi maintenance gating,39,Normal,OK,0.89,Yes,No,NA,No,NA,10,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_send,fuzzy_lora_tx,lora,success,1,10,10,0,,0,1,2.5,1,0,0,0,1,2,normal_lora_with_wifi_maintenance,LORA,Send,Delivered,None,10,1,1,1
19,S8,7,CRITICAL battery; store-only protection,40,Normal,CRITICAL,0.8400000000000001,NA,No,NA,No,NA,26,64,BATTERY_CRITICAL,CRITICAL,CRITICAL,BATTERY_CRITICAL,deterministic_event_path,critical_battery_shutdown,battery_critical_store_only,dtn,stored,0,26,27,0,,0,0,0.3,0,0,0,0,0,0,battery_critical_store_only,DTN,Store,Stored,Enqueue,27,1,1,1
20,S4,8,Extreme dry; OK energy; deterministic cascade,9,Extreme_Dry,OK,0.33,No,Yes,No,Yes,Yes,17,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,17,17,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,17,1,1,1
21,S4,1,Extreme dry; OK energy; deterministic cascade,8,Extreme_Dry,OK,0.4,Yes,No,NA,No,NA,10,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_lora_tx,lora,success,1,10,10,0,,0,0,1.7,1,0,0,0,0,1,critical_environmental_full_cascade,LORA,Send,Delivered,None,10,1,1,1
22,S3,2,Rainfall/noncritical wet soil with weak LoRa,74,Wet,OK,0.22,No,No,NA,No,NA,4,64,REGULAR,NORMAL,NORMAL,NONE,normal_fuzzy_path,fuzzy_store,fuzzy_store,dtn,stored,0,4,5,0,,0,0,0.3,0,0,0,0,0,0,fuzzy_store_wet_weak_lora,DTN,Store,Stored,Enqueue,5,1,1,1
23,S4,3,Extreme dry; OK energy; deterministic cascade,10,Extreme_Dry,OK,0.38,No,Yes,No,Yes,Yes,12,128,EXTREME_DRY,CRITICAL,CRITICAL,EXTREME_DRY,deterministic_event_path,critical_environmental,critical_ble_tx,ble,success,1,12,12,0,,0,0,1.7,1,1,1,0,0,3,critical_environmental_full_cascade,BLE_RELIABLE,Send,Delivered,None,12,1,1,1
